Level,Parent_ID,Category_EN,Category_AR,Level1_Keywords_EN,Level1_Keywords_AR,Level2_Keywords_EN,Level2_Keywords_AR,Level3_Keywords_EN,Level3_Keywords_AR,Specific_Terms
1,,Food & Drink,الطعام والشراب,"food,dining,eatery,restaurant,cafe","طعام,مطعم,أكل,شراب,مشروبات",,,,,"food,drink,dining,eatery"
2,1,Restaurants,مطاعم,,,,"restaurant,diner,dining place,eatery","مطعم,مطاعم,مكان طعام",,"restaurant,diner"
3,2,Saudi Cuisine,المطبخ السعودي,,,,,,"saudi,traditional,heritage,local","سعودي,تراثي,شعبي,محلي","mandi,kabsa,jarish"
3,2,Mandi,مندي,,,,,,"rice dish,meat,traditional,mandi","أرز,لحم,مندي,تراثي","mandi,rice,meat"
3,2,Kabsa,كبسة,,,,,,"kabsa,rice,spices,traditional","كبسة,أرز,بهارات,تراثي","kabsa,spices"
2,1,Cafes,مقاهي,,,,"cafe,coffee shop,beverages","مقهى,مقاهي,قهوة,مشروبات",,"cafe,coffee"
3,6,Coffee Shop,محل قهوة,,,,,,"coffee,espresso,latte,cappuccino","قهوة,إسبرسو,لاتيه,كابتشينو","coffee,espresso"
3,6,Tea House,بيت شاي,,,,,,"tea,herbal,traditional tea","شاي,أعشاب,شاي تراثي","tea,herbal"
2,1,Bakeries,مخابز,,,,"bakery,bread,pastry","مخبز,مخابز,خبز,معجنات",,"bakery,bread"
3,9,Traditional Bakery,مخبز تراثي,,,,,,"traditional bread,local bakery","خبز تراثي,مخبز شعبي","traditional,local"
3,9,Pastry Shop,محل حلويات,,,,,,"pastry,sweets,desserts","معجنات,حلويات,تحلية","pastry,sweets"
1,,Technology,التكنولوجيا,"technology,tech,IT,digital,software","تكنولوجيا,تقنية,برمجيات,رقمي",,,,,"tech,IT,digital"
2,12,Software Development,تطوير البرمجيات,,,,"software,development,programming,apps","برمجيات,تطوير,برمجة,تطبيقات",,"software,development"
3,13,Mobile Apps,تطبيقات الجوال,,,,,,"mobile,apps,android,ios","جوال,تطبيقات,أندرويد,آيفون","mobile,apps"
3,13,Web Development,تطوير المواقع,,,,,,"website,web,frontend,backend","موقع,ويب,واجهة,خلفية","website,web"
2,12,IT Services,خدمات تقنية,,,,"IT support,technical,computer repair","دعم تقني,إصلاح,حاسوب",,"IT,support"
3,16,Computer Repair,إصلاح الحاسوب,,,,,,"computer,repair,hardware,fix","حاسوب,إصلاح,عتاد,إصلاح","computer,repair"
3,16,Network Setup,إعداد الشبكات,,,,,,"network,internet,wifi,setup","شبكة,إنترنت,واي فاي,إعداد","network,wifi"
1,,Healthcare,الرعاية الصحية,"healthcare,medical,health,doctor,clinic","رعاية صحية,طبي,صحة,طبيب,عيادة",,,,,"health,medical"
2,19,Medical Clinics,العيادات الطبية,,,,"clinic,medical center,doctor","عيادة,مركز طبي,طبيب",,"clinic,medical"
3,20,General Practice,طب عام,,,,,,"general,family doctor,primary care","عام,طبيب عائلة,رعاية أولية","general,family"
3,20,Specialist Clinic,عيادة متخصصة,,,,,,"specialist,cardiology,dermatology","متخصص,قلب,جلدية","specialist,cardiology"
2,19,Pharmacies,الصيدليات,,,,"pharmacy,medicine,drugs","صيدلية,دواء,أدوية",,"pharmacy,medicine"
3,23,Chain Pharmacy,صيدلية سلسلة,,,,,,"chain,brand,commercial","سلسلة,تجاري,علامة تجارية","chain,commercial"
3,23,Independent Pharmacy,صيدلية مستقلة,,,,,,"independent,local,family owned","مستقل,محلي,عائلي","independent,local"
